ZCTA5CE20,Latitude,Longitude,Crow_Flies_Distance_km,Car_Distance_km,Car_Duration_min,Car_Error,Transit_Distance_km,Transit_Duration_min,Transit_Error,Number_People_in_Zip
28466,34.7407699,-77.8757024,479.18,553.48,342.9,,,,No route found,1
28374,35.1892803,-79.4590707,477.09,551.16,340,,,,No route found,1
43205,39.9573416,-82.9620189,526.77,639.23,372.6,,,,No route found,1
44320,41.0731401,-81.5824138,457.21,563.17,328.6,,,,No route found,1
44011,41.4451003,-82.0051085,508.47,612.62,355.4,,,,No route found,1
25427,39.5204188,-78.0991211,115.09,152.78,111,,,,No route found,1
25413,39.3105884,-78.0559477,101.62,133.07,103.6,,,,No route found,1
25414,39.2417936,-77.8648488,83.55,117.71,86.2,,,,No route found,1
25314,38.2891613,-81.6601531,416,588.99,339.5,,,,No route found,1
19958,38.7287137,-75.1685073,157.23,186.53,138.9,,,,No route found,1
19808,39.7376151,-75.6670572,138.61,158.8,112,,209.47,184,,1
89117,36.140961,-115.281091,3368.1,3884.77,2049.9,,4457.72,3551,,1
97221,45.4965552,-122.7304527,3784.31,4523.94,2387.4,,4864.04,3933,,1
20007,38.9177159,-77.0906354,14.08,18.79,38,,25.88,78,,1
20019,38.8922458,-76.9417718,10.55,13.73,22.3,,24.2,79,,4
20018,38.9265762,-76.9744461,6.91,9.66,17.6,,10.04,64,,1
20002,38.9050256,-76.9836072,9.43,12.16,23.6,,15.92,56,,9
20012,38.979021,-77.0308009,6.69,9.87,20.9,,12.65,58,,3
20011,38.9525135,-77.0229909,7.07,8.68,18.5,,9.35,68,,4
20001,38.9103532,-77.0177386,10.12,13.21,26.1,,20.9,56,,1
20009,38.9191435,-77.0373808,10.41,12.66,29.3,,15.81,54,,1
20015,38.9668893,-77.0583229,9.28,12.55,24.1,,19.56,74,,1
20008,38.9348147,-77.0589402,10.75,13.68,30.6,,23.03,54,,2
20017,38.9381535,-76.9929093,6.36,8.2,15.9,,11.63,40,,1
20010,38.9328249,-77.0317976,9,10.99,24.1,,18.47,49,,1
4103,43.6954216,-70.2886521,763.58,862.32,523.1,,934.17,653,,1
19063,39.9222285,-75.414058,168.23,190.65,130.4,,231.29,218,,1
85283,33.3646382,-111.9316044,3180.86,3678.89,1968.9,,,,No route found,1
19040,40.1772937,-75.1061898,206.4,239.75,163.9,,256.43,254,,1
85635,31.5531079,-110.171088,3107.8,3601.87,1951.2,,,,No route found,1
80918,38.9103931,-104.7803619,2396.9,2634.9,1427.6,,,,No route found,1
17403,39.9198208,-76.7111821,105.84,129.77,94.3,,,,No route found,1
19147,39.9364044,-75.1547288,187.11,210,135.1,,236.24,172,,1
3256,43.6234361,-71.6325467,680.44,825.58,502.1,,,,No route found,1
8824,40.4207268,-74.5534575,259.99,295.31,185.4,,,,No route found,1
7083,40.6952664,-74.2690777,297.7,334.73,196.1,,373.68,248,,1
8057,39.9796575,-74.9413079,205,230.68,148.7,,257.03,224,,1
13601,43.9690329,-75.9104513,560.78,697.4,417.3,,,,No route found,1
77005,29.7184351,-95.4235554,1978.33,2292.56,1218.6,,2990.05,2598,,1
75630,32.8531063,-94.5725242,1723.14,1970.57,1078,,,,No route found,1
75009,33.3388989,-96.7529773,1880.39,2160.19,1164.2,,,,No route found,1
76028,32.5326769,-97.3065472,1966.28,2239.34,1202.7,,,,No route found,1
78255,29.6491646,-98.6663438,2240.03,2641.14,1418.9,,,,No route found,1
60950,41.2528477,-87.8835863,962.16,1148.11,631.3,,,,No route found,1
22207,38.9066646,-77.1242382,17.2,22.99,45.8,,31.5,94,,2
22314,38.8068534,-77.0563741,21.87,47.95,40.9,,31.72,68,,2
22308,38.7292824,-77.0609943,30.08,53.7,49.5,,45.57,100,,3
22511,37.9944486,-76.5043819,117.06,185.23,153.7,,,,No route found,1
22835,38.6704309,-78.4553008,134.72,166.56,119.9,,,,No route found,1
22311,38.8339909,-77.1255106,22.55,55.09,52,,23.88,83,,3
22003,38.8302613,-77.214454,28.47,45.01,54.2,,56.38,117,,1
22204,38.860742,-77.0989554,18.8,29.36,52.1,,28.12,74,,2
22305,38.8364625,-77.0620981,19.14,51.58,47,,29.42,61,,1
20124,38.7813316,-77.3913325,44.21,66.01,72.2,,,,No route found,1
20143,38.8753018,-77.5622491,54.05,81.64,77.9,,,,No route found,1
23321,36.8003977,-76.4211521,247.55,327.32,212.4,,,,No route found,1
22301,38.8199568,-77.0592851,20.65,49.69,44.2,,31.27,76,,1
22033,38.8752183,-77.3847133,39.26,53.27,60.4,,59.42,113,,1
20171,38.9268735,-77.3967746,38.86,53.27,58.4,,62.15,113,,1
22181,38.9055454,-77.2897778,30.41,49.04,56.2,,54.84,129,,1
20175,39.0643984,-77.603768,56.79,78.08,70,,,,No route found,1
20165,39.0575376,-77.392009,38.65,58.97,66.5,,,,No route found,1
20105,38.9531689,-77.6035937,56.28,73.23,71.5,,,,No route found,1
22201,38.8868035,-77.0949922,16.49,23.12,49.8,,27.34,58,,1
22307,38.7703597,-77.0590829,25.71,48.33,40.2,,40.45,90,,2
22309,38.7203355,-77.1061545,32.41,55.7,50.8,,45.47,114,,1
22152,38.7744932,-77.2320292,33.7,63.33,54.8,,56.28,115,,1
20191,38.9333152,-77.3501175,34.76,47.51,53.5,,58.15,101,,1
22191,38.6229139,-77.2629379,48.5,75.17,68,,74.45,163,,1
22031,38.8589199,-77.260273,30.06,44.68,53,,52.51,121,,2
22039,38.7485768,-77.3144934,40.93,74.02,64,,,,No route found,1
22963,37.8466615,-78.2939742,172.32,212.66,163.6,,,,No route found,1
22407,38.2849204,-77.5805983,95.13,106.42,99.6,,,,No route found,1
23453,36.7834905,-76.0712074,256.93,344.75,231.9,,381.2,458,,1
22554,38.4206802,-77.3746796,72.75,90.57,88.4,,,,No route found,2
29577,33.6976385,-78.906484,613.51,713.76,439.7,,,,No route found,1
23455,36.883814,-76.1432365,244.39,334.15,225.3,,392.91,402,,1
22602,39.1442492,-78.2848073,116.23,170.16,113.7,,,,No route found,2
23059,37.702252,-77.5739948,152.71,178.28,132.8,,,,No route found,1
22304,38.8132039,-77.1122681,23.65,52.23,46,,36.21,76,,3
22315,38.7567636,-77.1474318,30.56,56.26,49.4,,51.06,93,,2
22015,38.7860235,-77.2800146,35.97,67.5,59.5,,51.28,100,,1
22182,38.9384211,-77.2755203,28.31,40.46,51.5,,55.59,124,,2
38060,35.2093468,-89.5054678,1188.52,1389.81,753.5,,,,No route found,1
